ID,Description
MSC098,GR Flower/Smalls Pouch 14g
MSC099,GR Flower/Smalls Pouch 28g
MSC126,10CT Jams Inner – Metalized Mylar - 3.25”W x 5.5”H x 2”G
LAB097,THC symbol
LAB145,Curaleaf Blank Label 2.625 x 1.125 (replaces LAB114)
LAB098,Evergreen Rectangle Label
LAB093,"Curaleaf Blank Label 1.3"" x 2.4"""
LAB114,"Curaleaf Blank Label 1.125"" x 2.625"""
LAB088,"Curaleaf Blank Label 1.4"" x 1.1"""
LAB111,"Curaleaf Blank Label 1.5"" x 1"""
LAB134,"Select Blank Label 3.5"" x 1.5"""
LAB149,"JAMS Chews Blank Label 3.25"" x 1.6"""
LAB104,Curaleaf Blank 1.7x1.7 label w/ THC logo
LAB132,Select Front VD Label
CAR094,Grassroots FL Shorties 5pk Pre-roll Rigid Box Insert
LAB142,Select FL Fruit Stiq Front Label - Tropical
LAB143,Select FL Fruit Stiq Front Label - Berry
LAB144,Select FL Fruit Stiq Front Label - Citrus
LAB131v1,FL- Flower blank Label w/ THC logo 3.25x2.4
LAB113,Curaleaf Classic Chews Cover-up Label
LAB131V2,FL- Flower blank Label w/ THC logo Large Roll
MSC086,Pre-Rolled Cones 0.4g (Canada) 84 mm
MSC115,Hara Supply Natural Brown Pre-Rolled Cones 1 1/4th 900 Count (84mm/26mm)
MSC116,Hara Supply Natural Brown Pre-Rolled Cones King Size 800 Count (109mm/26mm)
MSC118,Grassroots Branded 0.4g Pre-Rolled Cones – 84 mm
LAB118,Dog Bone Tamper Labels
LAB133,Select Back VD Label
LAB099,By Curaleaf w/ THC Symbol Coverup Label
MSC022,Curaleaf Logo Pre-Rolled Cones
MSC025,"Pre-Roll Cones 1 1/4,  84/26  for VCP & 2PK  "
LAB070V1,Select Live Red Hybrid Labels w THC
LAB071V1,Select Live Purple Indica Labels w THC
MSC087,Pre-Rolled Conces 1g (Canada) 109 mm
LAB087V1,Select Live Orange Sativa Hybrid Labels w THC
LAB101,Iconic C and THC label
LAB110,Select Live Yellow Sativa Labels
LAB137,New CL concentrate label (replaces CAR049/50/53/77)
LAB131,FL- Flower blank Label 3.25x2.4
MSC037,Select Squeeze Dosage Cup and Tube
LAB067,Curaleaf FL 2 ct Pre Roll Label
LAB069v1,Curaleaf 0.035 oz Pre-Roll  1 Count w/ THC sticker
LAB139,New VDL for all concentrate (replaces LAB093)
LAB082v1,Curaleaf Peel Back Labels w THC
BOT059,Select Cliq MP - Eddie Parker Special Edition
LAB146,"GR & Reef FL 50 Dram VDL 5""x0.9"""
LAB048V1,Curaleaf 0.125oz (3.5g) of Flower Redesign
LAB127,Large Dog Bone Tamper Label 15x32
LAB124,Grassroots FL Pre-Roll Shorties VD Label
LAB119,Curaleaf Peel Back Labels  -Black Triangle
LAB147,GR Widemouth DP Jar Wrap Label
LAB148,Reef Widemouth DP Jar Wrap Label
LAB048V2,Curaleaf 0.125oz (3.5g) of Flower Redesign
LAB125,Grassroots FL 3.5g Flower Label
LAB138,New SL concentrate label (replaces CAR081)
BOT029,CRC White Opaque Pop Top 109-116mm
LAB136,Vape Pouch VD Label w. THC 3.75x2.75
MSC125,Select Essentials AiO USB-C Charger
MSC035,"Inner White Pouch 2.4"" x 3.5"""
LAB115,Select FL Cliq Hybrid (Red) DT Label
LAB116,Select FL Cliq Indica (Purple) DT Label
MSC081,Oxygen Absorbers
LAB112,Curaleaf 1.5 x 1.2 Peel Back Label w /THC Logo
CAR093,Grassroots FL Shorties 5pk Pre-roll Sleeve
CAR093V1,GRASSROOTS FL SHORTIES 5 PK PRE-ROLL SLEEVE - REDESIGN
LAB126,Grassroots FL Concentrate Card VD Label
LAB085V1,Curaleaf Indica Labels w THC
LAB086V1,Curaleaf Hybrid Labels w THC
CLS017,Select Squeeze Lid
LAB117,Select FL Cliq Sativa (Yellow) DT Label
MSC065,"Inner White Pouch 3.25""X5"" + THC Logo"
LAB128,Select FL Cliq/Elite Live DT label - Indica/Purple
LAB135,Grassroots FL RSO Capsules Jar Wrap Label
LAB096v1,Curaleaf Ground Flower Label 7 g w THC
LAB084V1,Curaleaf Sativa Labels w THC
LAB083V1,Curaleaf Live Blends Hybrid Labels w THC
LAB129,Select FL Cliq/Elite Live DT label - Hybrid/Red
MSC036,"Inner White Pouch 3.4"" x 6"""
CLS026,38mm CRC Matte White Lid
LAB105,Squeeze DT Label
CAR086,Grassroots 5pk Pre-Roll Insert
MSC054,Inner White Pouch 3.6” x 5.5” + THC Logo
LAB108,Drop Label 60ml
LAB123,Grassroots FL Flower Jar VD Label
